"Gross domestic product (GDP) at basic prices, by industry, provinces and territories (x 1,000,000)" c 1 2 3 4 5 6 7
"Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Geography: Province or territory"

"Geography","North American Industry Classification System (NAICS) 7 8","Reference period","Current dollars","Chained (2012) dollars 9"
,"Service-producing industries  [T003] 12","2010","450,357.7","466,209.1"
,,"2011","471,400.9","477,533.5"
,,"2012","484,305.3","484,307.2"
,,"2013","500,611.3","492,598.3"
,,"2014","521,395.2","504,851.2"
,,"2015","541,539.4","517,308.4"
,,"2016","563,663.6","530,645.3"
,,"2017","590,729.4","548,167.8"
,,"2018","..","563,037.5"
,,"2019","..","578,927.1"
,"Industrial production  [T010] 13","2010","95,516.3","97,884.5"
,,"2011","100,420.8","101,936.9"
,,"2012","103,084.2","103,084.3"
,,"2013","101,930.1","103,147.1"
,,"2014","106,374.9","106,123.9"
,,"2015","112,452.5","106,987.4"
,,"2016","116,099.1","108,660.1"
,,"2017","116,227.2","108,536.2"
,,"2018","..","112,029.9"
,,"2019","..","111,362.6"
,"Non-durable manufacturing industries  [T011] 14","2010","30,433.5","33,252.0"
,,"2011","30,560.6","32,952.4"
,,"2012","33,429.4","33,429.4"
,,"2013","32,490.9","33,422.4"
,,"2014","33,633.2","33,919.3"
,,"2015","36,637.0","35,346.3"
,,"2016","37,113.5","35,404.6"
,,"2017","38,120.4","35,905.2"
,,"2018","..","37,268.5"
,,"2019","..","37,322.2"
,"Durable manufacturing industries  [T012] 15","2010","45,053.2","44,103.5"
,,"2011","46,924.6","46,549.5"
,,"2012","47,695.4","47,695.2"
,,"2013","46,772.2","46,938.9"
,,"2014","48,995.6","48,845.7"
,,"2015","51,962.3","49,051.5"
,,"2016","54,517.1","49,935.2"
,,"2017","53,727.2","49,758.4"
,,"2018","..","51,138.6"
,,"2019","..","50,454.6"
,"Information and communication technology sector  [T013] 16","2010","31,194.6","32,325.3"
,,"2011","31,858.8","32,986.1"
,,"2012","32,659.6","32,659.7"
,,"2013","34,409.5","32,433.5"
,,"2014","35,904.4","33,544.1"
,,"2015","37,987.5","35,251.7"
,,"2016","40,886.8","36,775.2"
,,"2017","43,503.9","38,612.5"
,,"2018","..","40,999.3"
,,"2019","..","43,400.1"
,"Energy sector  [T016] 17","2010","13,634.9","16,128.6"
,,"2011","14,143.0","16,179.4"
,,"2012","15,701.3","15,701.3"
,,"2013","15,609.8","15,499.7"
,,"2014","17,027.2","16,501.8"
,,"2015","18,394.8","16,343.5"
,,"2016","18,271.8","16,607.1"
,,"2017","17,511.3","16,238.1"
,,"2018","..","16,935.7"
,,"2019","..","16,833.1"
,"Public sector  [T018] 18","2010","122,625.2","129,499.5"
,,"2011","128,833.7","131,307.6"
,,"2012","131,947.5","131,947.5"
,,"2013","136,075.8","131,289.9"
,,"2014","139,731.9","132,084.3"
,,"2015","144,195.4","133,471.8"
,,"2016","148,654.9","135,905.1"
,,"2017","154,091.3","138,137.0"
,,"2018","..","142,747.2"
,,"2019","..","146,572.9"
,"Cannabis sector  [T021] 19","2010","714.8","740.4"
,,"2011","757.9","774.0"
,,"2012","840.8","840.8"
,,"2013","936.2","938.0"
,,"2014","988.8","1,052.0"
,,"2015","1,003.5","1,154.5"
,,"2016","1,008.4","1,206.8"
,,"2017","985.7","1,257.9"
,,"2018","..","1,933.6"
,,"2019","..","3,442.4"
,"Agriculture, forestry, fishing and hunting  [11]","2010","5,032.6","6,256.5"
,,"2011","6,267.9","6,466.7"
,,"2012","6,527.0","6,527.0"
,,"2013","6,143.8","7,062.0"
,,"2014","6,648.8","6,909.5"
,,"2015","7,009.8","7,339.5"
,,"2016","6,668.7","7,420.6"
,,"2017","7,291.3","7,780.9"
,,"2018","..","8,277.5"
,,"2019","..","9,331.7"
,"Mining, quarrying, and oil and gas extraction  [21]","2010","6,231.2","5,934.4"
,,"2011","8,561.9","7,492.3"
,,"2012","7,404.2","7,404.1"
,,"2013","7,841.6","8,057.8"
,,"2014","7,953.1","7,819.1"
,,"2015","7,339.0","7,477.6"
,,"2016","7,351.5","7,596.5"
,,"2017","7,685.1","7,434.8"
,,"2018","..","7,468.8"
,,"2019","..","7,101.2"
,"Utilities  [22]","2010","12,092.0","13,034.1"
,,"2011","12,694.7","13,232.2"
,,"2012","12,712.1","12,712.0"
,,"2013","12,746.4","12,676.7"
,,"2014","13,535.0","13,313.5"
,,"2015","14,308.9","13,087.3"
,,"2016","14,625.3","13,457.9"
,,"2017","14,055.3","13,186.6"
,,"2018","..","13,749.1"
,,"2019","..","13,875.3"
,"Construction  [23]","2010","38,427.7","41,250.0"
,,"2011","39,727.8","41,723.8"
,,"2012","42,871.8","42,871.8"
,,"2013","42,883.9","43,170.0"
,,"2014","44,677.5","44,133.1"
,,"2015","48,040.2","47,781.6"
,,"2016","49,821.0","48,122.9"
,,"2017","52,856.1","49,443.4"
,,"2018","..","51,506.2"
,,"2019","..","50,740.5"
,"Manufacturing  [31-33]","2010","75,486.6","77,255.7"
,,"2011","77,485.2","79,495.4"
,,"2012","81,124.8","81,124.6"
,,"2013","79,263.2","80,351.9"
,,"2014","82,628.8","82,773.2"
,,"2015","88,599.4","84,391.7"
,,"2016","91,630.6","85,343.9"
,,"2017","91,847.6","85,657.1"
,,"2018","..","88,398.0"
,,"2019","..","87,763.2"
,"Wholesale trade  [41]","2010","37,083.0","37,322.9"
,,"2011","39,471.1","40,012.2"
,,"2012","41,430.2","41,430.1"
,,"2013","41,594.1","43,018.9"
,,"2014","42,953.5","44,018.7"
,,"2015","43,685.1","44,099.7"
,,"2016","46,536.9","44,574.9"
,,"2017","49,200.2","46,296.0"
,,"2018","..","47,753.3"
,,"2019","..","48,790.1"
,"Retail trade  [44-45]","2010","29,783.6","30,466.4"
,,"2011","30,058.7","30,542.9"
,,"2012","30,379.1","30,379.0"
,,"2013","31,689.0","31,927.0"
,,"2014","31,764.6","31,934.5"
,,"2015","32,259.0","31,953.5"
,,"2016","34,574.4","33,816.1"
,,"2017","36,197.2","35,021.4"
,,"2018","..","36,024.0"
,,"2019","..","36,740.3"
,"Transportation and warehousing  [48-49]","2010","21,964.0","23,102.6"
,,"2011","23,045.1","23,906.2"
,,"2012","23,825.1","23,825.0"
,,"2013","25,012.3","24,310.0"
,,"2014","27,231.5","25,915.3"
,,"2015","28,762.8","26,848.3"
,,"2016","29,681.6","27,536.7"
,,"2017","31,122.7","28,744.8"
,,"2018","..","29,787.1"
,,"2019","..","30,002.3"
,"Information and cultural industries  [51]","2010","22,373.9","23,606.0"
,,"2011","23,065.5","23,832.1"
,,"2012","23,998.3","23,998.3"
,,"2013","24,295.5","23,712.9"
,,"2014","25,678.7","24,945.4"
,,"2015","25,817.5","25,481.7"
,,"2016","27,623.0","26,609.7"
,,"2017","29,152.0","27,928.7"
,,"2018","..","28,549.6"
,,"2019","..","29,860.6"
,"Finance and insurance  [52]","2010","50,446.4","50,888.5"
,,"2011","54,294.4","52,822.0"
,,"2012","54,005.9","54,005.8"
,,"2013","57,307.2","56,261.5"
,,"2014","62,096.3","58,382.1"
,,"2015","65,486.9","61,707.4"
,,"2016","65,605.1","64,210.5"
,,"2017","71,039.2","69,499.7"
,,"2018","..","71,121.6"
,,"2019","..","73,306.8"
,"Real estate and rental and leasing  [53]","2010","75,780.0","78,300.4"
,,"2011","79,107.3","80,561.4"
,,"2012","82,565.0","82,565.0"
,,"2013","85,230.8","84,259.7"
,,"2014","87,074.0","85,588.1"
,,"2015","90,704.9","88,141.6"
,,"2016","95,615.1","90,517.8"
,,"2017","99,654.1","93,110.9"
,,"2018","..","94,786.4"
,,"2019","..","97,819.9"
,"Professional, scientific and technical services  [54]","2010","38,444.8","39,035.0"
,,"2011","40,449.9","40,155.6"
,,"2012","40,771.6","40,771.4"
,,"2013","41,731.7","41,039.3"
,,"2014","44,086.6","42,952.0"
,,"2015","46,924.7","44,448.6"
,,"2016","50,416.0","46,813.3"
,,"2017","53,985.7","48,674.0"
,,"2018","..","51,025.1"
,,"2019","..","54,000.6"
,"Management of companies and enterprises  [55]","2010","4,431.5","4,475.5"
,,"2011","4,495.1","4,596.1"
,,"2012","4,585.2","4,585.2"
,,"2013","4,816.3","4,858.7"
,,"2014","4,751.8","4,520.0"
,,"2015","5,457.4","4,952.9"
,,"2016","4,737.7","4,275.1"
,,"2017","4,045.6","4,084.2"
,,"2018","..","3,479.5"
,,"2019","..","3,155.4"
,"Administrative and support, waste management and remediation services  [56]","2010","19,787.4","20,476.8"
,,"2011","20,050.2","20,270.2"
,,"2012","20,986.3","20,986.3"
,,"2013","21,864.3","21,084.3"
,,"2014","23,307.9","22,056.8"
,,"2015","24,126.1","22,656.8"
,,"2016","24,731.8","22,587.2"
,,"2017","25,050.2","22,307.8"
,,"2018","..","22,921.8"
,,"2019","..","23,190.7"
,"Educational services  [61]","2010","35,544.2","37,561.1"
,,"2011","37,210.0","37,646.1"
,,"2012","38,418.6","38,418.7"
,,"2013","39,583.2","38,983.2"
,,"2014","40,923.6","39,726.3"
,,"2015","42,173.0","39,961.6"
,,"2016","43,514.6","40,276.8"
,,"2017","44,435.2","40,908.9"
,,"2018","..","42,085.9"
,,"2019","..","42,664.6"
,"Health care and social assistance  [62]","2010","41,814.9","43,626.8"
,,"2011","43,729.3","44,431.3"
,,"2012","44,814.7","44,814.6"
,,"2013","45,913.4","44,185.8"
,,"2014","47,693.4","44,735.5"
,,"2015","50,175.6","45,451.1"
,,"2016","51,982.2","46,603.9"
,,"2017","53,441.5","47,025.6"
,,"2018","..","48,776.6"
,,"2019","..","50,412.2"
,"Arts, entertainment and recreation  [71]","2010","5,002.7","5,294.7"
,,"2011","5,181.8","5,266.1"
,,"2012","5,266.4","5,266.4"
,,"2013","5,184.0","5,268.3"
,,"2014","5,474.2","5,578.8"
,,"2015","5,765.2","5,800.8"
,,"2016","6,004.0","5,946.5"
,,"2017","6,304.3","6,176.3"
,,"2018","..","6,217.1"
,,"2019","..","6,286.8"
,"Accommodation and food services  [72]","2010","10,910.7","11,396.0"
,,"2011","11,375.5","11,768.0"
,,"2012","12,069.7","12,069.7"
,,"2013","12,869.9","12,709.1"
,,"2014","13,665.4","13,472.5"
,,"2015","14,275.9","14,096.7"
,,"2016","15,244.7","14,569.6"
,,"2017","15,875.7","14,702.3"
,,"2018","..","14,931.2"
,,"2019","..","15,321.9"
,"Other services (except public administration)  [81]","2010","11,724.5","12,182.0"
,,"2011","11,972.6","12,254.2"
,,"2012","12,475.2","12,475.1"
,,"2013","12,940.2","12,928.0"
,,"2014","13,578.8","13,482.6"
,,"2015","14,078.4","13,653.7"
,,"2016","14,238.3","13,399.3"
,,"2017","15,011.4","13,856.0"
,,"2018","..","13,912.1"
,,"2019","..","14,041.8"
,"Public administration  [91]","2010","45,266.1","48,579.8"
,,"2011","47,894.4","49,505.9"
,,"2012","48,714.2","48,714.3"
,,"2013","50,579.2","48,124.3"
,,"2014","51,114.9","47,645.0"
,,"2015","51,846.8","48,074.0"
,,"2016","53,158.2","49,025.8"
,,"2017","56,214.7","50,211.0"
,,"2018","..","51,884.7"
,,"2019","..","53,470.0"
"Manitoba","All industries  [T001] 10","2010","49,508.3","52,841.8"
,,"2011","52,461.7","54,057.9"
,,"2012","55,676.3","55,676.4"
,,"2013","57,869.0","57,169.9"
,,"2014","59,499.7","58,276.3"
,,"2015","60,958.6","59,082.5"
,,"2016","62,289.7","59,966.8"
,,"2017","66,007.1","61,965.3"
,,"2018","..","62,970.5"
,,"2019","..","63,279.0"
,"Goods-producing industries  [T002] 11","2010","13,504.5","15,511.6"
,,"2011","14,812.0","15,719.1"
,,"2012","16,607.8","16,607.9"
,,"2013","17,184.0","17,382.8"
,,"2014","16,878.2","17,401.7"
,,"2015","16,578.6","17,468.4"
,,"2016","16,515.9","17,376.8"
,,"2017","18,436.9","18,403.2"
,,"2018","..","18,714.2"
,,"2019","..","18,449.8"
,"Service-producing industries  [T003] 12","2010","36,003.7","37,322.6"
,,"2011","37,649.7","38,317.4"
,,"2012","39,068.4","39,068.5"
,,"2013","40,685.0","39,801.0"
,,"2014","42,621.5","40,867.9"
,,"2015","44,380.0","41,592.2"
,,"2016","45,773.8","42,527.8"
,,"2017","47,570.2","43,542.6"
,,"2018","..","44,237.5"
,,"2019","..","44,790.7"
,"Industrial production  [T010] 13","2010","8,880.8","9,602.8"
,,"2011","10,039.1","10,192.6"
,,"2012","10,614.9","10,614.9"
,,"2013","10,652.9","10,571.5"
,,"2014","10,709.1","10,628.6"
,,"2015","9,681.0","10,259.2"
,,"2016","9,762.7","10,136.4"
,,"2017","10,499.1","10,457.1"
,,"2018","..","10,682.0"
,,"2019","..","10,482.2"
,"Non-durable manufacturing industries  [T011] 14","2010","2,554.7","2,834.4"
,,"2011","2,819.8","2,983.8"
,,"2012","3,019.1","3,019.1"
,,"2013","2,914.0","2,926.3"
,,"2014","2,900.4","3,041.6"
,,"2015","2,613.8","2,833.3"
,,"2016","2,562.0","2,765.8"
,,"2017","2,699.4","2,988.6"
,,"2018","..","3,157.3"
,,"2019","..","3,046.8"
,"Durable manufacturing industries  [T012] 15","2010","2,546.0","2,813.0"
,,"2011","2,958.7","3,009.8"
,,"2012","3,203.1","3,203.1"
,,"2013","3,268.7","3,363.7"
,,"2014","3,368.8","3,336.6"
,,"2015","3,419.4","3,165.8"
,,"2016","3,495.3","3,079.2"
,,"2017","3,752.9","3,181.3"
,,"2018","..","3,331.4"
,,"2019","..","3,127.2"
,"Information and communication technology sector  [T013] 16","2010","1,645.6","1,762.4"
,,"2011","1,747.9","1,873.5"
,,"2012","1,888.4","1,888.4"
,,"2013","1,816.4","1,844.3"
,,"2014","1,807.9","1,836.2"
,,"2015","1,781.9","1,824.1"
,,"2016","1,848.6","1,921.2"
,,"2017","1,846.8","1,921.8"
,,"2018","..","1,990.7"
,,"2019","..","2,073.4"
,"Energy sector  [T016] 17","2010","2,855.5","3,141.6"
,,"2011","3,272.6","3,375.2"
,,"2012","3,650.8","3,650.8"
,,"2013","3,877.9","3,553.4"
,,"2014","3,855.9","3,616.8"
,,"2015","3,211.2","3,680.4"
,,"2016","3,276.5","3,678.0"
,,"2017","3,453.8","3,707.5"
,,"2018","..","3,745.2"
,,"2019","..","3,943.8"
,"Public sector  [T018] 18","2010","12,153.0","12,735.9"
,,"2011","12,789.6","12,996.7"
,,"2012","13,259.5","13,259.5"
,,"2013","13,959.8","13,249.5"
,,"2014","14,394.4","13,278.7"
,,"2015","14,920.5","13,463.5"
,,"2016","15,341.3","13,642.9"
,,"2017","15,921.9","13,848.2"
,,"2018","..","14,082.2"
,,"2019","..","14,357.2"
,"Cannabis sector  [T021] 19","2010","48.0","49.5"
,,"2011","52.4","53.4"
,,"2012","57.7","57.7"
,,"2013","64.6","64.3"
,,"2014","68.7","72.5"
,,"2015","69.5","79.2"
,,"2016","65.7","78.5"
,,"2017","60.3","78.5"
,,"2018","..","110.6"
,,"2019","..","149.3"
,"Agriculture, forestry, fishing and hunting  [11]","2010","1,439.8","2,355.7"
,,"2011","1,522.5","1,962.1"
,,"2012","2,420.4","2,420.4"
,,"2013","2,706.4","3,262.6"
,,"2014","2,013.0","2,720.0"
,,"2015","2,459.2","2,956.9"
,,"2016","2,273.0","3,060.4"
,,"2017","3,246.6","3,672.0"
,,"2018","..","3,596.3"
,,"2019","..","3,469.9"
,"Mining, quarrying, and oil and gas extraction  [21]","2010","1,970.1","2,000.0"
,,"2011","2,465.5","2,209.4"
,,"2012","2,433.1","2,433.1"
,,"2013","2,386.1","2,277.5"
,,"2014","2,320.1","2,211.8"
,,"2015","1,537.4","2,176.8"
,,"2016","1,404.2","2,086.7"
,,"2017","1,680.2","2,087.7"
,,"2018","..","2,034.1"
,,"2019","..","1,970.6"
,"Utilities  [22]","2010","1,682.9","1,841.8"
,,"2011","1,656.8","1,858.4"
,,"2012","1,804.3","1,804.3"
,,"2013","1,926.1","1,843.0"
,,"2014","1,953.7","1,872.3"
,,"2015","1,953.8","1,934.4"
,,"2016","2,128.5","2,017.3"
,,"2017","2,171.5","2,002.0"
,,"2018","..","1,959.5"
,,"2019","..","2,111.8"
,"Construction  [23]","2010","3,310.9","3,772.1"
,,"2011","3,388.6","3,664.3"
,,"2012","3,727.7","3,727.7"
,,"2013","3,982.7","3,776.8"
,,"2014","4,322.1","4,131.8"
,,"2015","4,595.0","4,337.2"
,,"2016","4,653.0","4,306.3"
,,"2017","4,886.3","4,489.9"
,,"2018","..","4,628.0"
,,"2019","..","4,683.3"
,"Manufacturing  [31-33]","2010","5,100.7","5,643.9"
,,"2011","5,778.5","5,991.0"
,,"2012","6,222.3","6,222.3"
,,"2013","6,182.8","6,291.5"
,,"2014","6,269.2","6,378.2"
,,"2015","6,033.1","6,001.8"
,,"2016","6,057.3","5,846.4"
,,"2017","6,452.3","6,154.8"
,,"2018","..","6,469.0"
,,"2019","..","6,142.7"
,"Wholesale trade  [41]","2010","2,793.4","2,790.0"
,,"2011","2,793.0","2,797.9"
,,"2012","2,766.6","2,766.6"
,,"2013","2,860.8","2,934.0"
,,"2014","3,167.5","3,305.0"
,,"2015","2,995.1","3,034.5"
,,"2016","3,046.9","3,027.1"
,,"2017","3,164.8","3,105.4"
,,"2018","..","3,149.2"
,,"2019","..","3,067.1"
,"Retail trade  [44-45]","2010","2,791.3","2,929.3"
,,"2011","2,903.6","2,999.0"
,,"2012","3,006.0","3,006.0"
,,"2013","3,089.5","3,134.9"
,,"2014","3,273.2","3,120.3"
,,"2015","3,498.5","3,176.3"
,,"2016","3,604.7","3,259.7"
,,"2017","3,744.0","3,337.6"
,,"2018","..","3,363.7"
,,"2019","..","3,377.6"
,"Transportation and warehousing  [48-49]","2010","2,846.3","2,940.4"
,,"2011","3,014.2","3,057.0"
,,"2012","3,114.2","3,114.2"
,,"2013","3,239.5","3,151.6"
,,"2014","3,450.7","3,364.4"
,,"2015","3,716.4","3,612.3"
,,"2016","3,804.0","3,740.9"
,,"2017","3,976.3","3,971.0"
,,"2018","..","4,100.4"
,,"2019","..","4,099.5"
,"Information and cultural industries  [51]","2010","1,529.0","1,634.3"
,,"2011","1,599.8","1,666.1"
,,"2012","1,673.6","1,673.6"
,,"2013","1,696.6","1,633.4"
,,"2014","1,697.3","1,626.8"
,,"2015","1,709.0","1,672.1"
,,"2016","1,732.0","1,749.8"
,,"2017","1,657.5","1,684.1"
,,"2018","..","1,721.2"
,,"2019","..","1,766.9"
,"Finance and insurance  [52]","2010","2,873.0","2,799.1"
,,"2011","2,888.1","2,867.3"
,,"2012","2,915.3","2,915.3"
,,"2013","3,068.6","3,018.0"
,,"2014","3,211.8","3,031.6"
,,"2015","3,421.4","3,153.5"
,,"2016","3,477.6","3,284.3"
,,"2017","3,715.8","3,459.9"
,,"2018","..","3,486.5"
,,"2019","..","3,565.8"
,"Real estate and rental and leasing  [53]","2010","6,121.8","6,322.6"
,,"2011","6,447.4","6,512.4"
,,"2012","6,776.3","6,776.4"
,,"2013","6,940.0","6,961.2"
,,"2014","7,295.3","7,209.4"
,,"2015","7,636.7","7,457.5"
,,"2016","7,979.5","7,668.5"
,,"2017","8,341.5","7,926.0"
,,"2018","..","8,116.9"
,,"2019","..","8,279.9"
,"Professional, scientific and technical services  [54]","2010","1,456.5","1,565.6"
,,"2011","1,571.7","1,649.6"
,,"2012","1,691.0","1,691.0"
,,"2013","1,846.3","1,806.1"
,,"2014","1,947.1","1,866.8"
,,"2015","2,027.5","1,866.4"
,,"2016","2,191.7","1,987.4"
,,"2017","2,229.6","1,967.0"
,,"2018","..","1,994.3"
,,"2019","..","2,045.3"
,"Management of companies and enterprises  [55]","2010","312.1","340.1"
,,"2011","328.2","362.2"
,,"2012","388.2","388.2"
,,"2013","398.7","411.2"
,,"2014","375.8","373.3"
,,"2015","435.9","409.9"
,,"2016","369.8","347.7"
,,"2017","310.5","308.0"
,,"2018","..","259.1"
,,"2019","..","215.0"
,"Administrative and support, waste management and remediation services  [56]","2010","833.1","881.1"
,,"2011","885.6","905.9"
,,"2012","967.5","967.5"
,,"2013","1,009.2","971.5"
,,"2014","1,051.5","992.5"
,,"2015","1,083.1","996.9"
,,"2016","1,147.3","1,023.4"
,,"2017","1,242.9","1,063.0"
,,"2018","..","1,051.0"
,,"2019","..","1,055.1"
,"Educational services  [61]","2010","2,903.3","3,066.5"
,,"2011","3,106.9","3,130.8"
,,"2012","3,219.1","3,219.1"
,,"2013","3,330.0","3,265.0"
,,"2014","3,468.6","3,349.5"
,,"2015","3,557.4","3,361.9"
,,"2016","3,715.9","3,424.3"
,,"2017","3,795.8","3,470.0"
,,"2018","..","3,544.9"
,,"2019","..","3,632.6"
,"Health care and social assistance  [62]","2010","4,682.1","5,028.2"
,,"2011","4,868.3","5,086.9"
,,"2012","5,185.0","5,185.0"
,,"2013","5,391.1","5,185.0"
,,"2014","5,654.2","5,215.6"
,,"2015","5,972.9","5,345.4"
,,"2016","6,157.4","5,416.3"
,,"2017","6,369.9","5,499.3"
,,"2018","..","5,570.3"
,,"2019","..","5,697.2"
,"Arts, entertainment and recreation  [71]","2010","399.0","407.8"
,,"2011","425.4","426.5"
,,"2012","434.5","434.5"
,,"2013","427.8","413.2"
,,"2014","464.1","446.4"
,,"2015","503.2","443.6"
,,"2016","536.9","456.5"
,,"2017","563.1","475.8"
,,"2018","..","480.7"
,,"2019","..","483.9"
,"Accommodation and food services  [72]","2010","935.5","946.2"
,,"2011","980.8","996.3"
,,"2012","1,015.1","1,015.1"
,,"2013","1,052.4","1,041.4"
,,"2014","1,110.6","1,095.8"
,,"2015","1,228.0","1,137.9"
,,"2016","1,313.8","1,172.4"
,,"2017","1,416.9","1,211.4"
,,"2018","..","1,245.0"
,,"2019","..","1,284.0"
,"Other services (except public administration)  [81]","2010","959.7","995.3"
,,"2011","1,022.2","1,045.3"
,,"2012","1,060.6","1,060.6"
,,"2013","1,096.0","1,077.0"
,,"2014","1,182.1","1,157.5"
,,"2015","1,204.7","1,153.8"
,,"2016","1,228.4","1,155.4"
,,"2017","1,285.3","1,180.9"
,,"2018","..","1,185.5"
,,"2019","..","1,171.2"
,"Public administration  [91]","2010","4,567.6","4,678.9"
,,"2011","4,814.4","4,815.6"
,,"2012","4,855.4","4,855.5"
,,"2013","5,238.7","4,800.5"
,,"2014","5,271.6","4,720.4"
,,"2015","5,390.2","4,761.9"
,,"2016","5,468.0","4,809.0"
,,"2017","5,756.2","4,885.4"
,,"2018","..","4,974.5"
,,"2019","..","5,036.7"
"Saskatchewan","All industries  [T001] 10","2010","59,948.6","68,913.4"
,,"2011","71,287.5","72,611.6"
,,"2012","73,952.2","73,952.2"
,,"2013","78,937.4","78,708.5"
,,"2014","78,506.4","80,175.7"
,,"2015","75,306.2","79,574.2"
,,"2016","71,463.8","79,317.5"
,,"2017","75,302.1","81,121.1"
,,"2018","..","82,091.9"
,,"2019","..","81,383.6"
,"Goods-producing industries  [T002] 11","2010","27,871.4","34,881.1"
,,"2011","36,479.7","37,098.2"
,,"2012","37,328.8","37,328.9"
,,"2013","40,481.5","41,334.1"
,,"2014","38,217.6","42,078.4"
,,"2015","34,202.4","41,053.1"
,,"2016","29,787.6","40,451.8"
,,"2017","32,529.8","41,608.4"
,,"2018","..","41,975.2"
,,"2019","..","40,734.0"
,"Service-producing industries  [T003] 12","2010","32,077.3","34,011.7"
,,"2011","34,807.8","35,526.3"
,,"2012","36,623.4","36,623.3"
,,"2013","38,455.9","37,481.0"
,,"2014","40,288.8","38,206.8"
,,"2015","41,103.8","38,504.5"
,,"2016","41,676.2","38,723.4"
,,"2017","42,772.2","39,436.7"
,,"2018","..","40,004.7"
,,"2019","..","40,326.0"
,"Industrial production  [T010] 13","2010","20,205.2","24,717.1"
,,"2011","25,796.7","26,092.6"
,,"2012","25,575.5","25,575.4"
,,"2013","25,796.9","26,613.1"
,,"2014","26,244.1","28,323.8"
,,"2015","20,386.7","27,784.4"
,,"2016","16,579.6","26,735.1"
,,"2017","19,505.7","28,550.1"
,,"2018","..","29,405.2"
,,"2019","..","28,308.5"
,"Non-durable manufacturing industries  [T011] 14","2010","1,869.3","2,617.8"
,,"2011","2,597.6","2,757.2"
,,"2012","2,783.7","2,783.7"
,,"2013","2,814.5","2,969.1"
,,"2014","2,685.3","3,109.7"
,,"2015","2,476.9","3,170.1"
,,"2016","2,380.8","3,047.5"
,,"2017","2,587.3","3,066.6"
,,"2018","..","3,146.0"
,,"2019","..","2,936.1"
,"Durable manufacturing industries  [T012] 15","2010","1,634.6","1,702.9"
,,"2011","1,695.3","1,822.8"
,,"2012","2,060.7","2,060.7"
,,"2013","2,060.5","2,182.6"
,,"2014","2,035.0","2,182.1"
,,"2015","1,828.1","1,905.3"
,,"2016","1,695.2","1,705.3"
,,"2017","1,704.5","1,729.1"
,,"2018","..","1,765.7"
,,"2019","..","1,694.6"
,"Information and communication technology sector  [T013] 16","2010","1,266.9","1,278.3"
,,"2011","1,297.3","1,334.1"
,,"2012","1,426.3","1,426.3"
,,"2013","1,372.5","1,409.0"
,,"2014","1,400.4","1,445.2"
,,"2015","1,427.5","1,490.7"
,,"2016","1,466.3","1,585.3"
,,"2017","1,511.4","1,518.2"
,,"2018","..","1,559.0"
,,"2019","..","1,590.4"
,"Energy sector  [T016] 17","2010","13,721.5","16,236.0"
,,"2011","16,587.0","16,690.2"
,,"2012","17,038.6","17,038.6"
,,"2013","17,964.1","17,146.3"
,,"2014","18,666.8","18,422.8"
,,"2015","12,580.5","18,274.8"
,,"2016","10,960.1","17,699.6"
,,"2017","12,890.7","18,704.7"
,,"2018","..","18,707.7"
,,"2019","..","18,471.1"
,"Public sector  [T018] 18","2010","9,959.2","11,083.8"
,,"2011","10,793.6","11,269.1"
,,"2012","11,152.9","11,152.9"
,,"2013","11,487.0","11,138.5"
,,"2014","11,902.0","11,272.9"
,,"2015","12,488.5","11,527.3"
,,"2016","12,898.2","11,699.3"
,,"2017","13,301.7","11,880.0"
,,"2018","..","12,188.0"
,,"2019","..","12,501.1"
,"Cannabis sector  [T021] 19","2010","32.0","32.8"
,,"2011","36.0","36.7"
,,"2012","41.5","41.5"
,,"2013","48.6","48.2"
,,"2014","48.8","51.5"
,,"2015","49.5","56.5"
,,"2016","45.7","55.0"
,,"2017","41.3","54.4"
,,"2018","..","55.9"
,,"2019","..","59.8"
,"Agriculture, forestry, fishing and hunting  [11]","2010","2,969.2","4,505.6"
,,"2011","5,347.1","5,228.4"
,,"2012","5,284.2","5,284.2"
,,"2013","7,808.2","7,585.2"
,,"2014","4,417.2","6,073.4"
,,"2015","6,847.1","6,491.7"
,,"2016","6,800.1","7,176.7"
,,"2017","6,628.1","6,990.3"
,,"2018","..","7,031.9"
,,"2019","..","7,102.5"
,"Mining, quarrying, and oil and gas extraction  [21]","2010","15,286.9","18,835.1"
,,"2011","19,974.7","19,904.9"
,,"2012","19,118.5","19,118.5"
,,"2013","19,095.5","19,823.9"
,,"2014","19,690.4","21,393.4"
,,"2015","14,133.4","20,985.9"
,,"2016","10,384.3","20,187.1"
,,"2017","12,873.8","22,023.7"
,,"2018","..","22,710.0"
,,"2019","..","21,929.5"
,"Utilities  [22]","2010","1,353.5","1,516.5"
,,"2011","1,446.4","1,542.8"
,,"2012","1,520.0","1,520.0"
,,"2013","1,722.9","1,527.5"
,,"2014","1,718.0","1,540.4"
,,"2015","1,828.5","1,621.0"
,,"2016","1,998.3","1,664.1"
,,"2017","2,207.3","1,770.7"
,,"2018","..","1,828.0"
,,"2019","..","1,810.6"
,"Construction  [23]","2010","4,757.8","5,706.9"
,,"2011","5,418.6","5,858.2"
,,"2012","6,561.7","6,561.7"
,,"2013","6,979.9","7,049.5"
,,"2014","7,671.6","7,409.5"
,,"2015","7,088.4","6,631.3"
